DL_REQUEST_ID,DL_REQUEST_NAME,DL_SNAPSHOT_START_TIME,DL_SNAPSHOT_TZ,IDENTIFIER,RC,NAME,TICKER,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,COMPANY_IS_PRIVATE
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,INTC US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,AMD US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,DIS US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,TXN US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,PFE US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,CRM US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,COST US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,NKE US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,AMGN US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,IBM US Equity,0,INTL BUSINESS MACHINES CORP,IBM,6.72,3.27,7.5,False
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,LIN US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,MDT US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,UPS US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,PM US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,NEE US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,ACN US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,BA US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,SPGI US Equity,994,,,,,,
uhse8TuL9c8s,,2025-03-10T19:12:22,EDT,MS US Equity,994,,,,,,
