DL_REQUEST_ID,DL_REQUEST_NAME,DL_SNAPSHOT_START_TIME,DL_SNAPSHOT_TZ,IDENTIFIER,RC,TICKER
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,AAPL US Equity,0,AAPL
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,MSFT US Equity,0,MSFT
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,NVDA US Equity,0,NVDA
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,GOOGL US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,AMZN US Equity,0,AMZN
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,META UW Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,TSLA US Equity,0,TSLA
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,AVGO US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,TSM US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,BRK/A US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,LLY US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,V US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,UNH US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,WMT US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,JNJ US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,JPM US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,XOM US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,MA US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,PG US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,NVO US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,ORCL US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,CSCO US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,PEP US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,KO US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,ABBV US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,MRK US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,ASML NA Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,ADBE US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,NFLX US Equity,0,NFLX
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,CMCSA US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,INTC US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,CMCSA US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,INTC US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,AMD US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,DIS US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,TXN US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,PFE US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,CRM US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,COST US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,NKE US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,AMGN US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,IBM US Equity,0,IBM
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,LIN US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,MDT US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,UPS US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,PM US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,NEE US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,ACN US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,BA US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,SPGI US Equity,994,
uXwGFSzXDnFX,TickerListForTop51,2025-03-10T18:43:19,EDT,MS US Equity,994,
